"PopID" "X_Pops" "Y_Pops" "R90" "R60" "R30" "NSRangeTrans_30"
"1" 1 314 345 TRUE TRUE TRUE 0
"2" 2 307 330 TRUE FALSE FALSE 0
"3" 3 195 27 TRUE FALSE FALSE 2
"4" 4 34 357 TRUE FALSE FALSE 0
"5" 5 5 84 TRUE FALSE FALSE 1
"6" 6 328 96 TRUE TRUE TRUE 0
"7" 7 176 26 TRUE TRUE FALSE 0
"8" 8 225 231 TRUE TRUE TRUE 3
"9" 9 178 110 TRUE FALSE FALSE 0
"10" 10 253 175 TRUE TRUE TRUE 0
"11" 11 10 88 TRUE TRUE FALSE 0
"12" 12 173 329 TRUE TRUE TRUE 0
"13" 13 77 158 TRUE TRUE TRUE 0
"14" 14 275 112 TRUE FALSE FALSE 0
"15" 15 345 44 TRUE FALSE FALSE 0
"16" 16 130 191 TRUE FALSE FALSE 2
"17" 17 271 205 TRUE TRUE TRUE 3
"18" 18 84 94 TRUE TRUE FALSE 0
"19" 19 153 8 TRUE TRUE FALSE 0
"20" 20 170 137 TRUE FALSE FALSE 0
"21" 21 100 277 TRUE TRUE FALSE 0
"22" 22 180 331 TRUE TRUE FALSE 2
"23" 23 150 223 TRUE TRUE FALSE 0
"24" 24 25 237 TRUE TRUE FALSE 0
"25" 25 19 56 TRUE TRUE FALSE 1
"26" 26 323 164 TRUE TRUE FALSE 3
"27" 27 303 345 TRUE TRUE TRUE 3
"28" 28 83 156 TRUE TRUE TRUE 1
"29" 29 88 126 TRUE FALSE FALSE 0
"30" 30 194 211 TRUE FALSE FALSE 0
"31" 31 187 220 TRUE TRUE TRUE 0
"32" 32 81 95 TRUE TRUE FALSE 1
"33" 33 51 303 TRUE TRUE TRUE 0
"34" 34 342 57 TRUE TRUE FALSE 0
"35" 35 331 164 TRUE FALSE FALSE 0
"36" 36 282 43 TRUE FALSE FALSE 0
"37" 37 129 290 TRUE TRUE TRUE 2
"38" 38 270 306 TRUE TRUE FALSE 0
"39" 39 130 4 TRUE TRUE TRUE 0
"40" 40 108 136 TRUE TRUE FALSE 0
"41" 41 82 344 TRUE TRUE TRUE 0
"42" 42 181 74 TRUE FALSE FALSE 2
"43" 43 157 21 TRUE FALSE FALSE 0
"44" 44 161 351 TRUE TRUE TRUE 0
"45" 45 30 22 TRUE TRUE FALSE 0
"46" 46 153 326 TRUE TRUE TRUE 0
"47" 47 15 256 TRUE FALSE FALSE 1
"48" 48 220 94 TRUE TRUE TRUE 0
"49" 49 189 55 TRUE TRUE TRUE 2
"50" 50 120 22 TRUE FALSE FALSE 0
"51" 51 249 69 TRUE TRUE FALSE 0
"52" 52 19 358 TRUE TRUE TRUE 0
"53" 53 273 68 TRUE TRUE TRUE 3
"54" 54 12 134 TRUE TRUE FALSE 0
"55" 55 95 83 TRUE FALSE FALSE 1
"56" 56 119 8 TRUE TRUE TRUE 2
"57" 57 191 235 TRUE FALSE FALSE 2
"58" 58 230 310 TRUE FALSE FALSE 0
"59" 59 120 196 TRUE TRUE TRUE 0
"60" 60 145 285 TRUE TRUE FALSE 0
"61" 61 173 262 TRUE TRUE TRUE 2
"62" 62 27 135 TRUE FALSE FALSE 1
"63" 63 308 280 TRUE FALSE FALSE 3
"64" 64 128 162 TRUE TRUE TRUE 0
"65" 65 105 319 TRUE TRUE FALSE 0
"66" 66 86 61 TRUE FALSE FALSE 1
"67" 67 346 289 TRUE TRUE FALSE 0
"68" 68 207 238 TRUE FALSE FALSE 2
"69" 69 287 129 TRUE TRUE FALSE 3
"70" 70 334 228 TRUE TRUE TRUE 0
"71" 71 158 344 TRUE FALSE FALSE 0
"72" 72 33 164 TRUE TRUE FALSE 0
"73" 73 80 353 TRUE FALSE FALSE 0
"74" 74 161 20 TRUE TRUE FALSE 0
"75" 75 228 170 TRUE TRUE TRUE 0
"76" 76 351 309 TRUE TRUE FALSE 0
"77" 77 71 304 TRUE FALSE FALSE 0
"78" 78 335 226 TRUE TRUE FALSE 0
"79" 79 194 205 TRUE TRUE TRUE 0
"80" 80 253 45 TRUE FALSE FALSE 0
"81" 81 313 49 TRUE TRUE FALSE 0
"82" 82 247 132 TRUE TRUE FALSE 3
"83" 83 227 94 TRUE TRUE TRUE 3
"84" 84 52 234 TRUE TRUE FALSE 1
"85" 85 277 18 TRUE TRUE FALSE 0
"86" 86 187 287 TRUE FALSE FALSE 0
"87" 87 55 218 TRUE TRUE FALSE 1
"88" 88 272 81 TRUE TRUE TRUE 0
"89" 89 286 296 TRUE FALSE FALSE 3
"90" 90 204 84 TRUE TRUE TRUE 0
